figure	filename	description	source_script	source_data	format	resolution
Fig 1	fig1_workflow.svg		src/figures.py	annotated/with-functional	SVG+PNG	300 DPI
Fig 2	fig2_revel_distribution.svg		src/figures.py	annotated/with-functional	SVG+PNG	300 DPI
Fig 3	fig3_sift_distribution.svg		src/figures.py	annotated/with-functional	SVG+PNG	300 DPI
Fig 4	fig4_polyphen_distribution.svg		src/figures.py	annotated/with-functional	SVG+PNG	300 DPI
Fig 5	fig5_agreement_matrix.svg		src/figures.py	annotated/with-functional	SVG+PNG	300 DPI
Fig 6	fig6_revel_vs_polyphen.svg		src/figures.py	annotated/with-functional	SVG+PNG	300 DPI
Fig 7	fig7_revel_vs_sift.svg		src/figures.py	annotated/with-functional	SVG+PNG	300 DPI
Fig 8	fig8_revel_by_presence.svg		src/figures.py	annotated/with-functional	SVG+PNG	300 DPI
Fig 9	fig9_log10_af_vs_revel.svg		src/figures.py	annotated/with-functional	SVG+PNG	300 DPI
Fig 10	fig10_population_frequency.svg		src/figures.py	annotated/with-functional	SVG+PNG	300 DPI
Fig 11	fig11_cohort_composition.svg		src/figures.py	annotated/with-functional	SVG+PNG	300 DPI
Fig 12	fig12_predictor_vs_functional.svg		src/figures.py	annotated/with-functional	SVG+PNG	300 DPI
Fig 13	fig13_concordance.svg		src/figures.py	annotated/with-functional	SVG+PNG	300 DPI
Fig 14	fig14_functional_by_category.svg		src/figures.py	annotated/with-functional	SVG+PNG	300 DPI
Fig 15	fig15_evidence_availability.svg		src/figures.py	annotated/with-functional	SVG+PNG	300 DPI
Fig 16	fig16_domain_comparison.svg		src/figures.py	annotated/with-functional	SVG+PNG	300 DPI
Fig 17	fig17_dace_region_coverage.svg		scripts/phase13_dace_analysis.py	Phase 13 derived (Dace 2025)	SVG+PNG	300 DPI
Fig 18	fig18_dace_predictor_scatter.svg		scripts/phase13_dace_analysis.py	Phase 13 derived (Dace 2025)	SVG+PNG	300 DPI
Fig 19	fig19_domain_contrast.svg		scripts/phase13_dace_analysis.py	Phase 13 derived (Dace 2025)	SVG+PNG	300 DPI
Fig 20	fig20_phase13b_calibration.svg		scripts/phase13b_figure.py	Phase 13B derived (AM/BayesDel calibration)	SVG+PNG	300 DPI
